market,mean_funding
 Web Development ,12010604.34
 Web Hosting ,32816699.66
 Web Tools ,8884220.94
 WebOS ,2000
 Weddings ,2821500
 Wholesale ,0
 Wind ,14000000
 Windows Phone 7 ,9604639
 Wine And Spirits ,684444.44
 Wireless ,37147907.21
 Women ,10242000
 World Domination ,29466656.33
 Writers ,345000
 iOS ,8280962.1
 iPad ,2918987.43
 iPhone ,4524584.76
 iPod Touch ,1369000
 mHealth ,25000
